Part type;Job order;Operation number of detection;NC description;NC Code;Nomial;FLowerTolerance;FUpperTolerance;Measured Value;FDefectDesc_EN;Fqccomments_EN;MachineNum of detection;Operator of detection;Date of detection;Operation number of occurrence;operator of machining;MachineNum of occurrence;Date of machining;Root cause of occurrence;Corrective actions;extracted_machines;extracted_nc_codes;extracted_operations;defect_type;root_cause;root_cause_category;corrective_category;fqc_category;fqc_dates;fqc_dept_codes;defect_category
AA1;AA1_003823;7200;EL2415 is non conforming;EL2415;0;0;;;;;CCCC-04-02;EM2294;;1200;;AAAA-02-09;;;Cancel releasing clamping force;;EL2415;;unknown;;Undefined;Cancel Releasing Clamping Force;Undefined;;;Undefined
AA1;AA1_003824;7200;EL2415 is non conforming;EL2415;0;0;;;;;CCCC-04-02;EM2295;;1200;;AAAA-02-09;;;Cancel releasing clamping force;;EL2415;;unknown;;Undefined;Cancel Releasing Clamping Force;Undefined;;;Undefined
AA1;AA1_003826;7200;EL2415 is non conforming;EL2415;0;0;;;;;CCCC-04-01;EM2294;;1200;;AAAA-02-09;;;Cancel releasing clamping force;;EL2415;;unknown;;Undefined;Cancel Releasing Clamping Force;Undefined;;;Undefined
AA2;AA2_003010;7200;CO2510 is non conforming;CO2510;;-1;1;;out of tolerance after re-measurement 1;;CCCC-04-04;EM891;;1200;;;;AAAA-02-11 deviation;;AAAA-02-11;CO2510;;dimensional;AAAA-02-11 deviation;Machine AAAA-02-11 Deviation;Action Not Specified (NaN);Undefined;;;Out of Tolerance (Post-Check)
AA2;AA2_003010;7200;CO2610 is non conforming;CO2610;;-1;1;;out of tolerance after re-measurement 1;;CCCC-04-04;EM891;;1200;;;;AAAA-02-11 deviation;;AAAA-02-11;CO2610;;dimensional;AAAA-02-11 deviation;Machine AAAA-02-11 Deviation;Action Not Specified (NaN);Undefined;;;Out of Tolerance (Post-Check)
AA1;AA1_003839;7200;EL2415 is non conforming;EL2415;0;0;;;;;CCCC-04-01;EM2243;;1200;;AAAA-02-06;;Rim pitching CP&CPK NOK;Cancel releasing clamping force;;EL2415;;surface;Rim pitching CP&CPK NOK;Process Stability (CP/CPK);Cancel Releasing Clamping Force;Undefined;;;Undefined
AA2;AA2_003037;4000;Cutter broken is non conforming;Cutter broken;;;;;;;BBBB-02-06;EM2027;;4000;;BBBB-02-06;;;;;;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA1;AA1_003839;7400;Marking error is non conforming;Marking error;;;;;The point on the head of the marking number 1 on the balancing surface is not visually clear;;;EM2217;;4940;;;;Marking machine precision NOK;Maintenance marking machine;;;;surface;Marking machine precision NOK;Marking Precision;Maintenance marking machine;Undefined;;;Marking Visual Clarity
AA1;AA1_003841;7200;EL2415 is non conforming;EL2415;0;0;;;;;CCCC-04-01;EM2243;;1200;;AAAA-02-06;;Rim pitching CP&CPK NOK;Cancel releasing clamping force;;EL2415;;surface;Rim pitching CP&CPK NOK;Process Stability (CP/CPK);Cancel Releasing Clamping Force;Undefined;;;Undefined
AA1;AA1_003852;4940;Marking error is non conforming;Marking error;;;;;markingcharacter‘1’‘5’‘1’too shallow;;MARK-05-01;EM1933;;4940;;;;Marking machine precision NOK;Maintenance marking machine;;;;marking;Marking machine precision NOK;Marking Precision;Maintenance marking machine;Undefined;;;Marking Depth Issue
AA1;AA1_003854;7200;EL2415 is non conforming;EL2415;0;0;;;;;CCCC-04-03;EM2243;;1200;;AAAA-02-06;;Rim pitching CP&CPK NOK;Cancel releasing clamping force;;EL2415;;surface;Rim pitching CP&CPK NOK;Process Stability (CP/CPK);Cancel Releasing Clamping Force;Undefined;;;Undefined
AA2;AA2_003036;7200;CO2510 is non conforming;CO2510;;-1;1;;;awaiting QA confirmation. 2025.12.14 retest on CCCC-04-01 was completed 2025.01.05;CCCC-04-03;EM1060;;1200;;;;AAAA-02-11 deviation;;AAAA-02-11, CCCC-04-01;CO2510;;process;AAAA-02-11 deviation;Machine AAAA-02-11 Deviation;Action Not Specified (NaN);Pending Decision;"2025.12.14; 2025.01.05";CCCC-04-01;Undefined
