Part type;Job order;Operation number of detection;NC description;NC Code;Nomial;FLowerTolerance;FUpperTolerance;Measured Value;FDefectDesc_EN;Fqccomments_EN;MachineNum of detection;Operator of detection;Date of detection;Operation number of occurrence;operator of machining;MachineNum of occurrence;Date of machining;Root cause of occurrence;Corrective actions
AA1;AA1_003826;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;CO2910-R342 is the second DA, and CO2910-335 is the third DA;After OP7300 concludes, QA will confirm whether retesting is required. FCTD on 2025.12.02 is attached in 2025.12.03;CCCC-04-01;EM2294;12/2/25;1200;7/20/12;AAAA-02-09;11/21/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003833;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;120,79;/;continue operation, after OP7300 waiting for QA reply, 2025.12.03 FCTD see attachment2025.12.04;CCCC-04-01;EM1893;12/3/25;1200;8/31/10;AAAA-02-06;11/24/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003837;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;/;after OP7300 QA will confirm whether retesting is required. 2025.12.7;CCCC-04-01;EM1187;12/7/25;1200;4/6/13;AAAA-02-06;11/27/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003841;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;/;after OP7300 QA will confirm whether retesting is required. 2025.12.8,FCTD re-measurement completed, 2025.12.16;CCCC-04-01;EM2243;12/8/25;1200;2/13/10;AAAA-02-06;11/30/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003825;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;/;after OP7300 awaiting QA confirmation whether retesting is required . 2025.12.08;CCCC-04-04;EM1187;12/8/25;1200;2/13/10;AAAA-02-09;11/20/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003844;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;/;continue operation, after OP7400DA updated. 2025.12.9;CCCC-04-03;EM1323;12/9/25;1200;2/27/12;AAAA-02-06;12/1/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003721;7200;EL2415 is non conforming;EL2415;0;0;0,4;0,46;OP7200 DA;confirmed, recommendation: continue, after OP7300QA, 2025.11.26. DA updated: FCTD see attachment, awaiting QA decision. 2025.11.30;CCCC-04-01;EM1782;11/26/25;1200;6/15/12;AAAA-02-09;9/30/25;After data analysis, after release clamping, rim pitching CP&CPK is not good.;Cancel releasing clamping force
AA1;AA1_003823;7200;EL2415 is non conforming;EL2415;0;0;0,4;0,42;/;QA will confirm whether retesting is required. 2025.11.30 re-measurement value: 0.42mm,out of tolerance: 0.02mm,FCTD see attachment. 2025.12.01;CCCC-04-02;EM2294;11/29/25;1200;5/3/10;AAAA-02-09;11/20/25;After data analysis, after release clamping, rim pitching CP&CPK is not good.;Cancel releasing clamping force
AA1;AA1_003824;7200;EL2415 is non conforming;EL2415;0;0;0,4;0,41;/;after OP7300 awaiting QA confirmation, whether retesting is required. 2025.12.01, FCTD re-measurement completed, 2025.12.01;CCCC-04-02;EM2295;11/30/25;1200;2/13/10;AAAA-02-09;11/20/25;After data analysis, after release clamping, rim pitching CP&CPK is not good.;Cancel releasing clamping force
AA1;AA1_003826;7200;EL2415 is non conforming;EL2415;0;0;0,4;0,41;CO2910-R342 is the second DA, and CO2910-335 is the third DA;after OP7300 awaiting QA confirmation, whether retesting is required, 2025.12.02 FCTD see attachment 2025.12.03;CCCC-04-01;EM2294;12/2/25;1200;7/20/12;AAAA-02-09;11/21/25;After data analysis, after release clamping, rim pitching CP&CPK is not good.;Cancel releasing clamping force
AA2;AA2_003010;7200;CO2510 is non conforming;CO2510;25,3;-1;1;;out of tolerance after re-measurement 1;QA lihong confirmed continue operation, 2025.12.05;CCCC-04-04;EM891;12/5/25;1200;;;;AAAA-02-11 deviation;N/A
AA2;AA2_003010;7200;CO2610 is non conforming;CO2610;22,2;-1;1;20,72;out of tolerance after re-measurement 1;QA lihong confirmed continue operation, 2025.12.05;CCCC-04-04;EM891;12/5/25;1200;;;;AAAA-02-11 deviation;N/A
AA2;AA2_003037;4000;Cutter broken is non conforming;Cutter broken;;;;;The machining of OP4000 surface for DTA2003037 was completed on Milling Machine No. 6. During tool change, it was discovered that tool 52306 was broken, specifically at the 26th hole. The chamfer on the back of the skirt flange hole was not machined from the 26th to the 49th hole in a counterclockwise direction. There were several dents on the hub surface corresponding to the 25th and 26th holes. The cutting fluid did not stop flowing, and the broken tool has been collected.;It has been confirmed that there are 3 dent scrach on the hub surface corresponding to holes 25-26 on the non-balanced surface. The largest dent scrach area, labeled as 1#, is measured. The data is attached. The process is suspended pending QA's handling. On December 6, 2025, QA and Lihong responded on TEAMS that DA information needs to be updated: all holes and chamfers are visually inspected as OK, with no embedded objects. On December 15, 2025, the DA was updated. According to the rework order, the rework results are OK, visually inspected as OK, and the dimensions are OK. On December 23, 2025;BBBB-02-06;EM2027;12/6/25;4000;5/14/11;BBBB-02-06;12/19/25;only one case, root cause still under investigation;N/A
AA1;AA1_003839;7400;Marking error is non conforming;Marking error;;;;;The point on the head of the marking number 1 on the balancing surface is not visually clear;confirmed, awaiting QA decision, 2025.12.06. DA updated: see attachment, QA reply to continue operation. 2025.12.8;/;EM2217;12/6/25;4940;;;;Marking machine precision NOK;Maintenance marking machine
AA1;AA1_003841;7200;EL2415 is non conforming;EL2415;0;0;0,4;0,47;/;after OP7300 QA. 2025.12.8,FCTDre-measurement completed, 2025.12.16;CCCC-04-01;EM2243;12/8/25;1200;2/13/10;AAAA-02-06;11/30/25;Rim pitching CP&CPK NOK;Cancel releasing clamping force
AA1;AA1_003852;4940;Marking error is non conforming;Marking error;;;;;markingcharacter‘1’‘5’‘1’too shallow;see attachment, QA verbal reply continue operation, after OP7400 to update the result. 2025.12.10.At OP7400,No abnormalities were found during the appearance inspection. 2025.12.15;MARK-05-01;EM1933;12/10/25;4940;;;;Marking machine precision NOK;Maintenance marking machine
AA2;AA2_003036;7200;CO2510 is non conforming;CO2510;25,3;-1;1;23,88;DA2512100009, after re-measurement;awaiting QA confirmation. 2025.12.14 retest on CCCC-04-01 was completed 2025.01.05;CCCC-04-03;EM1060;12/14/25;1200;;;;AAAA-02-11 deviation;N/A
